Section,Question,Sub-question,Answer
I,1,,B
I,2,,D
I,3,,C
I,4,,B
I,5,,C
I,6,,B
I,7,,B
I,8,,C
I,9,,D
I,10,,D
I,11,,B
I,12,,B
I,13,,C
I,14,,B
I,15,,D
I,16,,D
I,17,,B
I,18,,C
I,19,,C
I,20,,C
I,21,,C
I,22,,B
I,23,,D
I,24,,D
I,25,,C
I,26,,C
I,27,,D
I,28,,D
I,29,,B
I,30,,C
I,31,,C
I,32,,D
I,33,,C
I,34,,B
I,35,,D
I,36,,A
I,37,,C
I,38,,C
I,39,,C
I,40,,D
II,1,a,False
II,1,b,False
II,1,c,True
II,1,d,True
II,2,a,False
II,2,b,False
II,2,c,False
II,2,d,True
II,3,a,False
II,3,b,False
II,3,c,False
II,3,d,True
II,4,a,True
II,4,b,False
II,4,c,True
II,4,d,True
II,5,a,False
II,5,b,True
II,5,c,False
II,5,d,True
II,6,a,False
II,6,b,False
II,6,c,True
II,6,d,False
II,7,a,True
II,7,b,True
II,7,c,True
II,7,d,False
II,8,a,False
II,8,b,True
II,8,c,True
II,8,d,True
III,1,,-0.78
III,2,,1365
III,3,,24.6
III,4,,-0.8
III,5,,9525
III,6,,3333
